	8	12	17
0	0.0048	0.0080	0.0110
10	0.0048	0.0080	0.0110
20	0.0048	0.0080	0.0110
30	0.0048	0.0080	0.0110
40	0.0048	0.0080	0.0110
50	0.0048	0.0080	0.0110
60	0.0048	0.0080	0.0110
70	0.0048	0.0080	0.0110
80	0.0048	0.0080	0.0110
90	0.0048	0.0080	0.0110
100	0.0048	0.0080	0.0110
110	0.0048	0.0080	0.0110
120	0.0048	0.0080	0.0110
130	0.0048	0.0080	0.0110
140	0.0048	0.0080	0.0110
150	0.0048	0.0080	0.0110
160	0.0048	0.0080	0.0110
170	0.0048	0.0080	0.0110
180	0.0048	0.0080	0.0110
190	0.0048	0.0080	0.0110
200	0.0048	0.0080	0.0110
210	0.0048	0.0080	0.0110
220	0.0048	0.0080	0.0110
230	0.0048	0.0080	0.0110
240	0.0048	0.0080	0.0110
250	0.0048	0.0080	0.0110
260	0.0048	0.0080	0.0110
270	0.0048	0.0102	0.0131
280	0.0048	0.0122	0.0170
290	0.0048	0.0146	0.0186
300	0.0048	0.0143	0.0300
310	0.0048	0.0193	0.0350
320	0.0048	0.0143	0.0300
330	0.0048	0.0146	0.0186
340	0.0048	0.0121	0.0170
350	0.0048	0.0102	0.0131
